Net coarse_mvp2m | Start training | lr =  0.0001
Epoch 1, loss 1756.3314208984375
Epoch 60, loss 231.55105590820312
Epoch 61, loss 234.1220703125
Epoch 62, loss 228.72189331054688
Epoch 63, loss 222.58425903320312
Epoch 64, loss 225.17413330078125
Epoch 65, loss 228.571533203125
Epoch 66, loss 235.57904052734375
Epoch 67, loss 215.90176391601562
Epoch 68, loss 225.4113311767578
Epoch 69, loss 219.89080810546875
Epoch 70, loss 205.93280029296875
Epoch 71, loss 203.66712951660156
Epoch 72, loss 203.09649658203125
Epoch 73, loss 197.09555053710938
Epoch 74, loss 201.8333282470703
Epoch 75, loss 204.79405212402344
Epoch 76, loss 197.63539123535156
Epoch 77, loss 193.59561157226562
Epoch 78, loss 190.95150756835938
Epoch 79, loss 188.17587280273438
Epoch 80, loss 188.20462036132812
Epoch 81, loss 186.013916015625
Epoch 82, loss 187.1644744873047
Epoch 83, loss 179.5087432861328
Epoch 84, loss 181.7559814453125
Epoch 85, loss 180.23085021972656
Epoch 86, loss 176.43121337890625
Epoch 87, loss 180.317138671875
Epoch 88, loss 197.03099060058594
Epoch 89, loss 182.0836639404297
Epoch 90, loss 177.33621215820312
Epoch 91, loss 177.01785278320312
Epoch 92, loss 175.8977508544922
Epoch 93, loss 171.01634216308594
Epoch 94, loss 170.9430694580078
Epoch 95, loss 172.06825256347656
Epoch 96, loss 172.56436157226562
Epoch 97, loss 171.52113342285156
Epoch 98, loss 168.25401306152344
Epoch 99, loss 167.099609375
Epoch 100, loss 163.25442504882812
Epoch 101, loss 164.07208251953125
Epoch 102, loss 164.4852752685547
Epoch 103, loss 169.31387329101562
Epoch 104, loss 168.29608154296875
Epoch 105, loss 166.197021484375
Epoch 106, loss 162.84103393554688
Epoch 107, loss 161.1302947998047
Epoch 108, loss 159.1319580078125
Epoch 109, loss 158.43934631347656
Epoch 110, loss 160.46412658691406
Epoch 111, loss 165.68142700195312
Epoch 112, loss 159.97799682617188
Epoch 113, loss 165.1695098876953
Epoch 114, loss 174.35931396484375
Epoch 115, loss 162.8544158935547
Epoch 116, loss 156.54959106445312
Epoch 117, loss 157.3180389404297
Epoch 118, loss 155.5506134033203
Epoch 119, loss 155.403564453125
Epoch 120, loss 156.54275512695312
Epoch 121, loss 152.01055908203125
Epoch 122, loss 151.19284057617188
Epoch 123, loss 154.98814392089844
Epoch 124, loss 162.205810546875
Epoch 125, loss 157.62454223632812
Epoch 126, loss 153.2684783935547
Epoch 127, loss 153.87677001953125
Epoch 128, loss 154.02374267578125
Epoch 129, loss 149.45245361328125
Epoch 130, loss 150.68203735351562
Epoch 131, loss 151.7322540283203
Epoch 132, loss 152.87228393554688
Epoch 133, loss 152.74766540527344
Epoch 134, loss 150.1812286376953
Epoch 135, loss 147.94078063964844
Epoch 136, loss 149.62228393554688
Epoch 137, loss 149.17111206054688
Epoch 138, loss 148.5984649658203
Epoch 139, loss 149.427490234375
Epoch 140, loss 148.46807861328125
Epoch 141, loss 148.4090118408203
Epoch 142, loss 148.7733917236328
Epoch 143, loss 147.3194122314453
Epoch 144, loss 146.59356689453125
Epoch 145, loss 146.6655731201172
Epoch 146, loss 145.43251037597656
Epoch 147, loss 146.2842559814453
Epoch 148, loss 148.067626953125
Epoch 149, loss 146.5640411376953
Epoch 150, loss 148.1268768310547
Epoch 151, loss 151.7307891845703
Epoch 152, loss 151.90817260742188
Epoch 153, loss 147.80950927734375
Epoch 154, loss 142.89138793945312
Epoch 155, loss 142.63519287109375
Epoch 156, loss 144.77757263183594
Epoch 157, loss 145.27468872070312
Epoch 158, loss 145.2488250732422
Epoch 159, loss 145.5677490234375
Epoch 160, loss 143.36582946777344
Epoch 161, loss 143.26535034179688
Epoch 162, loss 143.6620330810547
Epoch 163, loss 144.038818359375
Epoch 164, loss 146.7767791748047
Epoch 165, loss 143.4368133544922
Epoch 166, loss 143.28518676757812
Epoch 167, loss 140.80221557617188
Epoch 168, loss 140.1940155029297
Epoch 169, loss 141.70455932617188
Epoch 170, loss 142.0917205810547
Epoch 171, loss 142.74180603027344
Epoch 172, loss 144.37890625
Epoch 173, loss 144.76321411132812
Epoch 174, loss 142.86187744140625
Epoch 175, loss 141.56044006347656
Epoch 176, loss 140.0794219970703
Epoch 177, loss 138.80105590820312
Epoch 178, loss 138.77960205078125
Epoch 179, loss 139.34817504882812
Epoch 180, loss 139.47723388671875
Epoch 181, loss 142.23663330078125
Epoch 182, loss 144.61959838867188
Epoch 183, loss 146.14390563964844
Epoch 184, loss 144.31642150878906
Epoch 185, loss 141.42767333984375
Epoch 186, loss 138.45933532714844
Epoch 187, loss 137.30364990234375
Epoch 188, loss 137.04669189453125
Epoch 189, loss 136.56222534179688
Epoch 190, loss 137.94769287109375
Epoch 191, loss 138.72283935546875
Epoch 192, loss 137.1370391845703
Epoch 193, loss 136.9552459716797
Epoch 194, loss 136.8458251953125
Epoch 195, loss 139.40293884277344
Epoch 196, loss 138.80911254882812
Epoch 197, loss 176.20492553710938
Epoch 198, loss 212.0398712158203
Epoch 199, loss 153.9247589111328
Epoch 200, loss 140.98123168945312
Epoch 201, loss 137.15782165527344
Epoch 202, loss 134.72605895996094
Epoch 203, loss 133.61886596679688
Epoch 204, loss 132.7783660888672
Epoch 205, loss 132.65451049804688
Epoch 206, loss 133.15924072265625
Epoch 207, loss 133.4912872314453
Epoch 208, loss 133.45115661621094
Epoch 209, loss 133.43809509277344
Epoch 210, loss 133.60809326171875
Epoch 211, loss 135.88848876953125
Epoch 212, loss 134.57484436035156
Epoch 213, loss 135.5182342529297
Epoch 214, loss 136.06556701660156
Epoch 215, loss 136.7612762451172
Epoch 216, loss 136.31744384765625
Epoch 217, loss 136.11419677734375
Epoch 218, loss 136.44789123535156
Epoch 219, loss 135.4499053955078
Epoch 220, loss 135.35818481445312
Epoch 221, loss 135.90603637695312
Epoch 222, loss 135.17333984375
Epoch 223, loss 134.8365020751953
Epoch 224, loss 134.4535675048828
Epoch 225, loss 135.70904541015625
Epoch 226, loss 136.7715301513672
Epoch 227, loss 135.14474487304688
Epoch 228, loss 133.30690002441406
Epoch 229, loss 132.5315704345703
Epoch 230, loss 132.4990997314453
Epoch 231, loss 134.62118530273438
Epoch 232, loss 134.3285369873047
Epoch 233, loss 136.18951416015625
Epoch 234, loss 135.23902893066406
Epoch 235, loss 134.65988159179688
Epoch 236, loss 132.7256622314453
Epoch 237, loss 131.94927978515625
Epoch 238, loss 131.969482421875
Epoch 239, loss 132.9569549560547
Epoch 240, loss 134.5359344482422
Epoch 241, loss 134.66046142578125
Epoch 242, loss 133.98443603515625
Epoch 243, loss 133.01467895507812
Epoch 244, loss 132.34324645996094
Epoch 245, loss 131.78187561035156
Epoch 246, loss 132.08441162109375
Epoch 247, loss 131.94497680664062
Epoch 248, loss 132.541015625
Epoch 249, loss 132.34231567382812
Epoch 250, loss 131.92835998535156
Epoch 251, loss 131.14132690429688
Epoch 252, loss 132.62545776367188
Epoch 253, loss 131.1552734375
Epoch 254, loss 130.82481384277344
Epoch 255, loss 130.86436462402344
Epoch 256, loss 132.67852783203125
Epoch 257, loss 134.16635131835938
Epoch 258, loss 131.8021240234375
Epoch 259, loss 130.691650390625
Epoch 260, loss 130.46270751953125
Epoch 261, loss 130.20140075683594
Epoch 262, loss 130.34722900390625
Epoch 263, loss 132.04669189453125
Epoch 264, loss 130.83453369140625
Epoch 265, loss 130.81903076171875
Epoch 266, loss 133.27699279785156
Epoch 267, loss 132.724853515625
Epoch 268, loss 130.77171325683594
Epoch 269, loss 129.05697631835938
Epoch 270, loss 128.52980041503906
Epoch 271, loss 129.1155548095703
Epoch 272, loss 129.51541137695312
Epoch 273, loss 128.71136474609375
Epoch 274, loss 129.4801483154297
Epoch 275, loss 133.21044921875
Epoch 276, loss 130.7222900390625
Epoch 277, loss 129.85769653320312
Epoch 278, loss 130.063232421875
Epoch 279, loss 129.93153381347656
Epoch 280, loss 130.2163543701172
Epoch 281, loss 130.4356231689453
Epoch 282, loss 130.51068115234375
Epoch 283, loss 130.72140502929688
Epoch 284, loss 131.1240997314453
Epoch 285, loss 128.9904022216797
Epoch 286, loss 128.55677795410156
Epoch 287, loss 127.57392120361328
Epoch 288, loss 127.04476165771484
Epoch 289, loss 127.72599029541016
Epoch 290, loss 128.1381378173828
Epoch 291, loss 130.01904296875
Epoch 292, loss 132.320068359375
Epoch 293, loss 130.1689453125
Epoch 294, loss 128.4537353515625
Epoch 295, loss 127.14751434326172
Epoch 296, loss 126.94869232177734
Epoch 297, loss 126.69344329833984
Epoch 298, loss 126.74417877197266
Epoch 299, loss 127.69786071777344
Epoch 300, loss 128.189697265625
Epoch 301, loss 128.54380798339844
Epoch 302, loss 127.87196350097656
Epoch 303, loss 127.59120178222656
Epoch 304, loss 128.11135864257812
Epoch 305, loss 128.2257537841797
Epoch 306, loss 127.20071411132812
Epoch 307, loss 126.33075714111328
Epoch 308, loss 127.06187438964844
Epoch 309, loss 127.35784149169922
Epoch 310, loss 129.09988403320312
Epoch 311, loss 129.14248657226562
Epoch 312, loss 127.22898864746094
Epoch 313, loss 126.28269958496094
Epoch 314, loss 125.76649475097656
Epoch 315, loss 125.41696166992188
Epoch 316, loss 126.12393188476562
Epoch 317, loss 126.16751098632812
Epoch 318, loss 127.07242584228516
Epoch 319, loss 127.66162109375
Epoch 320, loss 129.1250457763672
Epoch 321, loss 128.40191650390625
Epoch 322, loss 128.06515502929688
Epoch 323, loss 126.71707153320312
Epoch 324, loss 126.11092376708984
Epoch 325, loss 125.57272338867188
Epoch 326, loss 125.63021087646484
Epoch 327, loss 126.19791412353516
Epoch 328, loss 125.61611938476562
Epoch 329, loss 125.83831024169922
Epoch 330, loss 125.46261596679688
Epoch 331, loss 125.66915130615234
Epoch 332, loss 125.90696716308594
Epoch 333, loss 126.24372100830078
Epoch 334, loss 126.31588745117188
Epoch 335, loss 126.0533447265625
Epoch 336, loss 125.68045806884766
Epoch 337, loss 125.39511108398438
Epoch 338, loss 126.25186157226562
Epoch 339, loss 127.18106842041016
Epoch 340, loss 130.65350341796875
Epoch 341, loss 127.66287231445312
Epoch 342, loss 126.18128967285156
Epoch 343, loss 124.70809173583984
Epoch 344, loss 124.08421325683594
Epoch 345, loss 123.90823364257812
Epoch 346, loss 123.75092315673828
Epoch 347, loss 123.63593292236328
Epoch 348, loss 124.26341247558594
Epoch 349, loss 124.2369384765625
Epoch 350, loss 124.64228057861328
Epoch 351, loss 124.74484252929688
Epoch 352, loss 124.93557739257812
Epoch 353, loss 125.08919525146484
Epoch 354, loss 125.37203979492188
Epoch 355, loss 125.456298828125
Epoch 356, loss 124.99492645263672
Epoch 357, loss 124.99576568603516
Epoch 358, loss 124.33580017089844
Epoch 359, loss 123.74495697021484
Epoch 360, loss 123.4739990234375
Epoch 361, loss 124.90628051757812
Epoch 362, loss 127.19041442871094
Epoch 363, loss 126.3798828125
Epoch 364, loss 125.25827026367188
Epoch 365, loss 125.35629272460938
Epoch 366, loss 124.44295501708984
Epoch 367, loss 123.52213287353516
Epoch 368, loss 123.56563568115234
Epoch 369, loss 123.24899291992188
Epoch 370, loss 123.07666015625
Epoch 371, loss 123.03501892089844
Epoch 372, loss 123.74311065673828
Epoch 373, loss 123.68221282958984
Epoch 374, loss 123.75479888916016
Epoch 375, loss 123.91647338867188
Epoch 376, loss 123.94190979003906
Epoch 377, loss 124.81710815429688
Epoch 378, loss 124.45114135742188
Epoch 379, loss 124.20651245117188
Epoch 380, loss 124.30438995361328
Epoch 381, loss 125.23917388916016
Epoch 382, loss 124.65438842773438
Epoch 383, loss 124.76505279541016
Epoch 384, loss 123.4058837890625
Epoch 385, loss 122.5986328125
Epoch 386, loss 122.37437438964844
Epoch 387, loss 122.27962493896484
Epoch 388, loss 122.13774871826172
Epoch 389, loss 122.51388549804688
Epoch 390, loss 122.38160705566406
Epoch 391, loss 122.33881378173828
Epoch 392, loss 123.61019134521484
Epoch 393, loss 124.09673309326172
Epoch 394, loss 124.31568908691406
Epoch 395, loss 124.11837768554688
Epoch 396, loss 124.12369537353516
Epoch 397, loss 123.91730499267578
Epoch 398, loss 124.39041137695312
Epoch 399, loss 123.44539642333984
Epoch 400, loss 122.84671783447266
Epoch 401, loss 122.062255859375
Epoch 402, loss 122.01553344726562
Epoch 403, loss 122.21701049804688
Epoch 404, loss 122.18212890625
Epoch 405, loss 121.78838348388672
Epoch 406, loss 122.12632751464844
Epoch 407, loss 122.92214965820312
Epoch 408, loss 123.72122192382812
Epoch 409, loss 124.10862731933594
Epoch 410, loss 123.46651458740234
Epoch 411, loss 122.89507293701172
Epoch 412, loss 122.65744018554688
Epoch 413, loss 122.18085479736328
Epoch 414, loss 121.94832611083984
Epoch 415, loss 121.88164520263672
Epoch 416, loss 121.58687591552734
Epoch 417, loss 121.98423767089844
Epoch 418, loss 122.29525756835938
Epoch 419, loss 122.6253662109375
Epoch 420, loss 122.53022003173828
Epoch 421, loss 123.02970123291016
Epoch 422, loss 124.24070739746094
Epoch 423, loss 122.93663024902344
Epoch 424, loss 122.06716918945312
Epoch 425, loss 122.07115173339844
Epoch 426, loss 121.43179321289062
Epoch 427, loss 120.77748107910156
Epoch 428, loss 120.73834991455078
Epoch 429, loss 120.9315185546875
Epoch 430, loss 121.50343322753906
Epoch 431, loss 121.64442443847656
Epoch 432, loss 122.28800201416016
Epoch 433, loss 122.11296844482422
Epoch 434, loss 122.90379333496094
Epoch 435, loss 122.41913604736328
Epoch 436, loss 121.85671997070312
Epoch 437, loss 122.08365631103516
Epoch 438, loss 121.76248931884766
Epoch 439, loss 121.73280334472656
Epoch 440, loss 122.18999481201172
Epoch 441, loss 121.96243286132812
Epoch 442, loss 121.9130859375
Epoch 443, loss 121.13579559326172
Epoch 444, loss 121.94634246826172
Epoch 445, loss 121.65248107910156
Epoch 446, loss 121.86483764648438
Epoch 447, loss 121.50193786621094
Epoch 448, loss 121.69444274902344
Epoch 449, loss 121.33878326416016
Epoch 450, loss 121.15548706054688
Epoch 451, loss 122.38868713378906
Epoch 452, loss 122.63614654541016
Epoch 453, loss 121.96590423583984
Epoch 454, loss 122.302734375
Epoch 455, loss 121.42105865478516
Epoch 456, loss 121.05113220214844
Epoch 457, loss 120.57115173339844
Epoch 458, loss 120.40274810791016
Epoch 459, loss 120.07088470458984
Epoch 460, loss 120.30352020263672
Epoch 461, loss 120.92891693115234
Epoch 462, loss 121.76499938964844
Epoch 463, loss 122.37653350830078
Epoch 464, loss 122.99396514892578
Epoch 465, loss 121.86349487304688
Epoch 466, loss 121.09711456298828
Epoch 467, loss 121.32003784179688
Epoch 468, loss 120.98487854003906
Epoch 469, loss 120.88699340820312
Epoch 470, loss 120.33773040771484
Epoch 471, loss 120.29757690429688
Epoch 472, loss 120.41446685791016
Epoch 473, loss 120.83335876464844
Epoch 474, loss 120.81888580322266
Epoch 475, loss 121.05921936035156
Epoch 476, loss 120.61759185791016
Epoch 477, loss 120.56446838378906
Epoch 478, loss 120.51708984375
Epoch 479, loss 120.36238861083984
Epoch 480, loss 121.80311584472656
Epoch 481, loss 121.02887725830078
Epoch 482, loss 120.86385345458984
Epoch 483, loss 121.83553314208984
Epoch 484, loss 123.27259826660156
Epoch 485, loss 122.4794921875
Epoch 486, loss 121.38465881347656
Epoch 487, loss 120.65482330322266
Epoch 488, loss 120.08961486816406
Epoch 489, loss 119.60317993164062
Epoch 490, loss 119.46714782714844
Epoch 491, loss 120.78329467773438
Epoch 492, loss 120.46222686767578
Epoch 493, loss 119.81484985351562
Epoch 494, loss 120.20594787597656
Epoch 495, loss 120.78536987304688
Epoch 496, loss 120.65664672851562
Epoch 497, loss 120.67372131347656
Epoch 498, loss 121.02528381347656
Epoch 499, loss 120.34966278076172
Epoch 500, loss 120.25729370117188
