Net refine_p2mpp | Start training | lr =  1e-05
Epoch 501, loss 0
Epoch 657, loss 0
Epoch 658, loss 0
Epoch 659, loss 0
Epoch 660, loss 0
Epoch 661, loss 0
Epoch 662, loss 0
Epoch 663, loss 0
Epoch 664, loss 0
Epoch 665, loss 0
Epoch 666, loss 0
Epoch 667, loss 0
Epoch 668, loss 0
Epoch 669, loss 0
Epoch 670, loss 0
Epoch 671, loss 0
Epoch 672, loss 0
Epoch 673, loss 0
Epoch 674, loss 0
Epoch 675, loss 0
Epoch 676, loss 0
Epoch 677, loss 0
Epoch 678, loss 0
Epoch 679, loss 0
Epoch 680, loss 0
Epoch 681, loss 0
Epoch 682, loss 0
Epoch 683, loss 0
Epoch 684, loss 0
Epoch 685, loss 0
Epoch 686, loss 0
Epoch 687, loss 0
Epoch 688, loss 0
Epoch 689, loss 0
Epoch 690, loss 0
Epoch 691, loss 0
Epoch 692, loss 0
Epoch 693, loss 0
Epoch 694, loss 0
Epoch 695, loss 0
Epoch 696, loss 0
Epoch 697, loss 0
Epoch 698, loss 0
Epoch 699, loss 0
Epoch 700, loss 0
Epoch 701, loss 0
Epoch 702, loss 0
Epoch 703, loss 0
Epoch 704, loss 0
Epoch 705, loss 0
Epoch 706, loss 0
Epoch 707, loss 0
Epoch 708, loss 0
Epoch 709, loss 0
Epoch 710, loss 0
Epoch 711, loss 0
Epoch 712, loss 0
Epoch 713, loss 0
Epoch 714, loss 0
Epoch 715, loss 0
Epoch 716, loss 0
Epoch 717, loss 0
Epoch 718, loss 0
Epoch 719, loss 0
Epoch 720, loss 0
Epoch 721, loss 0
Epoch 722, loss 0
Epoch 723, loss 0
Epoch 724, loss 0
Epoch 725, loss 0
Epoch 726, loss 0
Epoch 727, loss 0
Epoch 728, loss 0
Epoch 729, loss 0
Epoch 730, loss 0
Epoch 731, loss 0
Epoch 732, loss 0
Epoch 733, loss 0
Epoch 734, loss 0
Epoch 735, loss 0
Epoch 736, loss 0
Epoch 737, loss 0
Epoch 738, loss 0
Epoch 739, loss 0
Epoch 740, loss 0
Epoch 741, loss 0
Epoch 742, loss 0
Epoch 743, loss 0
Epoch 744, loss 0
Epoch 745, loss 0
Epoch 746, loss 0
Epoch 747, loss 0
Epoch 748, loss 0
Epoch 749, loss 0
Epoch 750, loss 0
Epoch 751, loss 0
Epoch 752, loss 0
Epoch 753, loss 0
Epoch 754, loss 0
Epoch 755, loss 0
Epoch 756, loss 0
